01-OA-000024,UCCP CHILD CARE CENTER-PTR. HECTOR REYES,AGC,"Cor. Santiago & Bowen Sts.,","Bangued, Abra",0,0,0
01-OA-000044,ST. IGNATIUS DE LOYOLA SCHOOL,AGC,"13 Mc-Kinley St.,","Zone Ii, Bangued, Abra",0,0,0
01-AD-000031,ST. ISIDORE ELEMENTARY SCHOOL,AGC,Frmly: San Alberto Magno Academy,"Poblacion, Tubao, La Union",0,0,0
01-AD-000099,ST. MICHAEL ARCHANGEL LEARNING CENTER,AGC,"Poblacion,","Bacnotan, La Union",0,LA UNION,0
01-AC-000072,VIGAN NAN CHONG SCHOOL,AGC,"16 A. Bonifacio St.,","Vigan, Ilocos Sur",0,0,0
01-AD-000092,ESCUELA DE SAN JUAN,AGC,Centro,"San Juan, La Union",0,LA UNION,0
01-AD-000102,BLESS BANGAR LEARNING CENTER,AGC,0,0,0,0,0
01-OA-000029,OUR LADY OF FATIMA SCHOOL,AGC,St. Narciso Parish,"Bucay, Abra 2805",0,BANGUED,0
01-AE-000028,LAOAG FOURSQUARE KINDERGARTEN SCHOOL,AGC,0,0,0,0,0
01-AD-000043,ST. MARTIN DE PORRES ACADEMY,AGC,Centro,"Damortis, Rosario, La Union",0,LA UNION,0
01-AC-000075,ILOCOS SUR NATIONAL HIGH SCHOOL,AGC,0,0,0,0,0
01-AE-000027,UCCP LEARNING CENTER-LAOAG,AGC,"18 Rizal St.,",Laoag City,0,0,0
01-OD-000008,CORDILLERA-CARABALLO BIBLE INST.(CCBI),AGC,(Ccbi Kiddy Adventure Center),"Brgy. Virac, Itogon, Benguet",0,0,0
01-OA-000047,ANARAAR KEN NAMNAMA LEARNING ANGELS CTR.,AGC,"Alzate Cmpd., Zone 1,","Linasin, Bangued, Abra",0,0,0
01-OA-000023,DIFFERENT STROKES PREPARATORY SCH. INC.,AGC,"668 Lazala St.,","Bangued, Abra",0,0,0
01-AC-000013,ILOCOS BIBLICAL BAPTIST ACADEMY,AGC,0,"Taleb Bantay, Ilocos Sur",0,0,0
01-AB-000038,ST. JAMES ACADEMY,AGC,"Manila North Road, Centro","Pasuquin, Ilocos Norte",0,0,0
01-OC-000027,HOLY ANGEL NURSERY SCHOOL,AGC,"#149 Bonifacio St.,","Cuesta Bldg., Baguio City",0,0,0
01-AB-000031,FLORENTINO CAMAQUIN ELEM. SCHOOL,AGC,"#4 St. Mary,","Vintar, Ilocos Norte",0,0,0
01-AC-000022,KIDDIE CHRISTIAN LEARNING CENTER,AGC,"#79 Bonifacio St.,","Vigan, Ilocos Sur",0,0,0
01-AC-000009,DUDLEY S. LARA EDUCATIONAL CENTER,AGC,"#91 Bonifacion St.,","Vigan, Ilocos Sur",0,0,0
01-AE-000002,CATERPILLAR CENTRE FOR EARLY,AGC,"23 P. Gomez St.,",Laoag City,0,0,0
01-AD-000070,SAN LORENZO SCIENCE SCHOOL,AGC,"27 Ilang-Ilang St., Capitol View","Poro, San Fernando, La Union",0,0,0
01-AC-000003,BIDBIDAY ADV. MULTIGRADE SCHOOL,AGC,"Brgy. Bidbiday,","Galimuyod, Ilocos Sur",0,0,0
01-AB-000016,ST. ANDREW ACADEMY (HS),AGC,"Brgy. I,","Bacarra, Ilocos Norte",0,0,0
01-OC-000063,UCCP KINDERGARTEN SCHOOL,AGC,Burnham Park,Baguio City,0,0,0
01-OD-000004,BRILLIANT CHRISTIAN ACADEMY,AGC,"Km-6 Valley Bread,","La Trinidad, Benguet",0,0,0
