01-OD-000021,ST. LOUIS HIGH SCH. OF BALATOC,,AGC,"Virac,","Itogon, Benguet", ,BAGUIO,
01-AC-000030,PATER NOSTER LEARNING CENTER (VEC),,AGC,(Vigan-Edu-Cultural LRNG. CTR.),"Crisologo St.,Vigan, Ilocos Sur", , ,
01-AB-000037,DONA FRANCISCA SMART KIDS MONT. SCH.,,AGC,"#13 San Gabriel Nat'l Rd.,","Bacarra, Ilocos Norte", , ,
01-AD-000012,DIOCESAN SEMINARY OF HEART OF JESUS,,AGC,"San Vicente Road,","San Fernando City, La Union", ,LA UNION,
01-OD-000011,HOLY CROSS LEARNING CENTER - BENGUET,,AGC,Lepanto,"Mankayan, Benguet", , ,
01-AC-000073,ANASTROPHE CHRISTIAN SCHOOL,,AGC,,, , ,
01-AB-000033,ST. JOSEPH EDUCATIONAL CTR. OF DINGRAS,,AGC,,"Dingras, Ilocos Norte", , ,
01-AC-000072,VIGAN NAN CHONG SCHOOL,,AGC,"16 A. Bonifacio St.,","Vigan, Ilocos Sur", , ,
01-AB-000030,ST. GABRIEL CATHOLIC SCHOOL,,AGC,"Poblacion,","Nueva Era, Ilocos Norte", ,Laoag,
01-OC-000028,JESUS MIRACLE CRUSADE CHRISTIAN ACAD.,,AGC,"448 Naguillan Rd., Purok 18,","Irisan, Baguio City", , ,
01-AC-000005,CALVARY BAPTIST ACADEMY OF VIGAN,,AGC,"#66 Bonifacio St.,","Vigan City, Ilocos Sur", , ,
01-OC-000072,YALE IL INTERNATIONAL SCHOOL,,AGC,"ISG Poliwes,","Kennon Rd., Baguio City", , ,
01-AD-000099,ST. MICHAEL ARCHANGEL LEARNING CENTER,,AGC,"Poblacion,","Bacnotan, La Union",,LA UNION,
01-AD-000033,ST. NICHOLAS ACADEMY (K) -BALAOAN,,AGC,"Manila North Road, Brgy Dr Camilo Osias","Balaoan, La Union", ,,
01-OA-000024,UCCP CHILD CARE CENTER-PTR. HECTOR REYES,,AGC,"cor. Santiago & Bowen Sts.,","Bangued, Abra", , ,
01-AD-000031,ST. ISIDORE ELEMENTARY SCHOOL,,AGC,Frmly: SAN ALBERTO MAGNO ACADEMY,"Poblacion, Tubao, La Union", ,,
01-OG-000006,BONTOC FUNDAMENTAL BAPTIST ACADEMY,,AGC,,, ,,
01-OA-000044,ST. IGNATIUS DE LOYOLA SCHOOL,,AGC,"13 Mc-Kinley St.,","Zone II, Bangued, Abra", , ,
01-AD-000092,ESCUELA DE SAN JUAN,,AGC,Centro,"San Juan, La Union", ,LA UNION,
01-AD-000043,ST. MARTIN DE PORRES ACADEMY,,AGC,Centro,"Damortis, Rosario, La Union", ,LA UNION,
01-OA-000029,OUR LADY OF FATIMA SCHOOL,,AGC,St. Narciso Parish,"Bucay, Abra 2805", ,Bangued,
01-AE-000028,LAOAG FOURSQUARE KINDERGARTEN SCHOOL,,AGC,,, , ,
01-AC-000075,ILOCOS SUR NATIONAL HIGH SCHOOL,,AGC,,, , ,
01-OA-000047,ANARAAR KEN NAMNAMA LEARNING ANGELS CTR.,,AGC,"Alzate Cmpd., Zone 1,","Linasin, Bangued, Abra",,,
01-AE-000027,UCCP LEARNING CENTER-LAOAG,,AGC,"18 Rizal St.,",Laoag City, , ,
01-OD-000008,CORDILLERA-CARABALLO BIBLE INST.(CCBI),,AGC,(CCBI Kiddy Adventure Center),"Brgy. Virac, Itogon, Benguet", , ,
