01-CF-000025,SBMA SPED EDUCATION CENTER,NL,CRU,"Kalayaan Ave., SBMA,","Subic Bay Freeport,Olongapo City", , ,
01-CB-000067,ST. CATHERINE OF SIENA ACADEMY,NL,CRU,"Brgy San Roque,","Samal, Bataan", ,BATAAN,
01-CG-000036,DOMINICAN SCHOOL-STA. RITA,NL,CRU,"San Matias,","Sta. Rita, Pampanga",OP DOMINICAN, ,
01-CG-000048,FILBERN SCHOOL,NL,CRU,"Suborvia Maimpis, Sindalan,","San Fernando, Pampanga", , ,
01-CG-000007,ARAYAT INSTITUTE (HS),NL,CRU,poblacion,"Arayat, Pampanga", , ,
01-CB-000076,ST. MICHAEL THE ARCHANGEL ACADEMY,NL,CRU,(Formerly Holy Child Cath. Sch.),"Orion, Bataan", ,BATAAN,
01-NA-000050,DIVINE MERCY COLLEGE FDT.(E/H),NL,CRU,"#129 University Ave.,",Kalookan City, ,,
01-CG-000034,DOMINICAN KIDDIE SCHOOL-MEXICO,NL,CRU,Sto. Domingo,"Mexico, Pampanga", , ,
01-CG-000058,GREAT SHEPHERD CHRISTIAN ACADEMY,NL,CRU,"1st Gate, Mawaque Resettlement,","Mabalacat, Pampanga", , ,
01-CB-000026,ECUMENICAL LEARNING CTR.-BALANGA,NL,CRU,"Capitol Drive,","Balanga, Bataan", , ,
01-CB-000002,ASIA PACIFIC COLLEGE OF ADVANCE STUDIES,NL,CRU,"A.H. Banzon St.,","Ibayo, Balanga City, Bataan", , ,
01-CG-000217,NASAH CENTER FOR LEARNING,NL,CRU,"Maligaya St., Sindalan,","City of San Fernando, Pampanga",,,
01-CI-000038,SAN ANDRES SCHOOL OF MASINLOC,NL,CRU,"Olondriz St., Poblacion,","Masinloc, Zambales", ,IBA,
01-NA-000222,RIDGEWOOD SCHOOL OF KALOOKAN,NL,CRU,"(Tiny Rolls Mont.)B-31 L-27, Acacia St.","Rainbow V,Bagumbong, Nova., Kal. City", , ,
01-CF-000026,ST. ANNE ACADEMY (E/HS)-OLONGAPO CITY,NL,CRU,"Gordon Heights,",Olongapo City,,IBA,
01-CA-000069,SCH. OF THE HOLY CHILD,NL,CRU,Villa Angelina Subdivision,Angeles City, , ,
